Object,a,e,i,w,Node,M,q,Q,P,H,MOID,ref,class
(2004 FH),0.82,0.289,0.0,35.1,292.5,50.9,0.581,1.05,0.74,25.70,0.000023,20,ATE
(2009 EJ1),1.59,0.473,0.0,149.7,311.4,22.1,0.840,2.35,2.01,28.40,0.000190,5,APO
(2013 GM3),0.84,0.288,0.0,321.3,28.2,291.1,0.596,1.08,0.76,26.30,0.000010,17,ATE
(2009 FG),1.97,0.530,0.0,82.0,42.6,15.9,0.925,3.01,2.76,25.50,0.000426,13,APO
(2014 KC45),1.52,0.395,0.0,189.4,105.4,82.1,0.918,2.12,1.87,29.30,0.000393,4,APO
(2010 XW58),1.61,0.399,0.0,290.0,126.9,357.0,0.965,2.25,2.03,24.90,0.000475,18,APO
(2008 VB4),2.35,0.618,0.1,171.3,189.3,8.7,0.900,3.81,3.61,28.20,0.000512,5,APO
(2009 TD17),1.13,0.220,0.1,82.3,219.0,165.4,0.879,1.38,1.20,27.70,0.000195,5,APO
(2014 AG51),1.88,0.591,0.1,261.4,141.5,144.4,0.768,2.98,2.57,29.90,0.000348,3,APO
(2014 GQ17),0.85,0.247,0.1,331.8,78.0,75.8,0.643,1.07,0.79,27.10,0.000143,14,ATE
(2005 TD49),2.69,0.622,0.1,191.9,196.4,26.7,1.016,4.36,4.41,26.40,0.020925,11,APO
(2010 JL88),1.42,0.503,0.1,45.7,274.5,216.8,0.707,2.14,1.70,26.80,0.001179,6,APO
(2013 PG10),1.08,0.227,0.1,210.7,3.8,143.6,0.834,1.32,1.12,27.80,0.001423,8,APO
(2012 HG2),1.19,0.182,0.1,26.4,143.4,40.3,0.973,1.41,1.30,27.00,0.000064,29,APO
(2000 SG344),0.98,0.067,0.1,275.1,192.1,156.0,0.912,1.04,0.97,24.70,0.000791,15,ATE
(2015 BE511),2.49,0.616,0.1,177.5,279.7,353.7,0.956,4.03,3.93,28.60,0.000653,3,APO
(2009 OW6),1.96,0.483,0.1,230.8,94.8,339.9,1.011,2.90,2.73,25.40,0.001502,10,APO
(2011 CA7),1.08,0.288,0.1,278.9,310.7,89.9,0.769,1.39,1.12,30.30,0.000330,6,APO
(2010 FN),0.99,0.211,0.1,126.1,161.5,199.7,0.781,1.20,0.98,26.60,0.000803,9,ATE
(2011 DE5),2.29,0.636,0.1,55.5,161.5,22.0,0.832,3.74,3.46,26.40,0.000063,7,APO
(2011 BA12),2.48,0.574,0.1,288.8,243.5,345.3,1.056,3.91,3.91,22.50,0.062879,38,AMO
152685 (1998 MZ),1.35,0.573,0.1,40.8,120.6,238.6,0.575,2.12,1.56,19.30,0.001570,81,APO*
(2004 XG29),1.41,0.313,0.2,110.1,302.6,3.7,0.968,1.85,1.67,25.30,0.001990,16,APO
(2010 CQ19),2.77,0.641,0.2,271.7,211.5,4.3,0.993,4.54,4.60,27.10,0.009354,9,APO
(2015 EG7),1.99,0.569,0.2,57.0,175.4,311.2,0.858,3.13,2.81,27.35,0.000257,6,APO
(2010 JK1),1.03,0.150,0.2,137.4,202.1,47.3,0.875,1.18,1.04,24.40,0.001812,23,APO
(2013 RZ5),1.57,0.594,0.2,200.0,230.7,204.3,0.639,2.51,1.97,28.40,0.002719,4,APO
(2015 FF36),2.10,0.536,0.2,205.0,6.3,318.5,0.975,3.23,3.05,26.51,0.000221,5,APO
(2012 MY2),1.26,0.204,0.2,97.0,202.3,247.7,1.003,1.52,1.41,26.40,0.002903,26,APO
(2008 YD3),2.93,0.649,0.2,262.2,179.0,1.8,1.028,4.83,5.02,26.20,0.044052,7,AMO
(2012 EJ5),1.47,0.316,0.2,141.0,36.5,189.7,1.007,1.94,1.79,27.70,0.012100,4,APO
(2011 CL50),0.89,0.144,0.2,289.5,17.5,48.6,0.759,1.01,0.84,27.60,0.002037,7,ATE
(2011 WQ4),1.81,0.471,0.2,238.4,207.9,82.7,0.957,2.66,2.43,27.40,0.001776,8,APO
(2013 YB),1.55,0.429,0.2,230.2,269.0,341.3,0.888,2.22,1.94,31.50,0.000126,3,APO
(2006 HX57),1.81,0.495,0.2,160.3,111.0,178.2,0.912,2.70,2.43,25.20,0.001523,11,APO
(2013 VJ11),1.51,0.404,0.2,276.6,82.0,230.2,0.898,2.12,1.85,27.90,0.001990,9,APO
(2001 AV43),1.28,0.241,0.2,51.2,20.5,251.8,0.975,1.59,1.45,24.60,0.001672,41,APO
(2012 QG8),2.55,0.513,0.2,93.6,130.9,247.9,1.243,3.86,4.07,19.20,0.235234,14,AMO
(2014 UY57),2.35,0.581,0.2,304.5,59.3,18.5,0.984,3.71,3.60,27.20,0.002447,6,APO
(2002 RB182),2.50,0.644,0.2,254.2,165.5,347.1,0.891,4.11,3.96,23.10,0.002025,8,APO
